"sample","function_type","function_id","function_label","count"
"B3","product","product:MFS transporter","product|product:MFS transporter",11
"B3","product","product:Major facilitator superfamily (MFS) profile domain-containing protein","product|product:Major facilitator superfamily (MFS) profile domain-containing protein",6
"B3","product","product:Membrane protein","product|product:Membrane protein",3
"B3","product","product:Methyltransferase","product|product:Methyltransferase",2
"B3","product","product:N-acetyltransferase","product|product:N-acetyltransferase",4
"B3","product","product:N-acetyltransferase domain-containing protein","product|product:N-acetyltransferase domain-containing protein",2
"B3","product","product:Peptidyl-prolyl cis-trans isomerase","product|product:Peptidyl-prolyl cis-trans isomerase",1
"B3","product","product:Putative membrane protein","product|product:Putative membrane protein",2
"B3","product","product:SDR family oxidoreductase","product|product:SDR family oxidoreductase",1
"B3","product","product:Secreted protein","product|product:Secreted protein",12
"B3","product","product:Transcriptional regulator","product|product:Transcriptional regulator",8
"B3","product","product:Transporter","product|product:Transporter",1
"B3","product","product:Transposase","product|product:Transposase",11
"B3","product","product:dUTP diphosphatase","product|product:dUTP diphosphatase",1
"B3","product","product:helix-turn-helix domain-containing protein","product|product:helix-turn-helix domain-containing protein",4
"B3","product","product:histidine kinase","product|product:histidine kinase",4
"B3","product","product:phosphoribosylformylglycinamidine synthase subunit PurQ","product|product:phosphoribosylformylglycinamidine synthase subunit PurQ",1
"A3","ec","ec:1.6.5.9","ec|ec:1.6.5.9",19
"A3","ec","ec:2.1.1.-","ec|ec:2.1.1.-",1
"A3","ec","ec:2.1.1.170","ec|ec:2.1.1.170",2
"A3","ec","ec:2.4.2.9","ec|ec:2.4.2.9",5
"A3","ec","ec:2.7.7.6","ec|ec:2.7.7.6",8
"A3","ec","ec:2.7.7.7","ec|ec:2.7.7.7",14
"A3","ec","ec:2.7.8.-","ec|ec:2.7.8.-",6
